19970101,
14,0
14,-1
13,-2
14,-2
14,-2
18,-2
17,-1
13,-1
16,6
16,7
16,3
18,1
17,1
17,1
13,1
10,6
10,1
11,1
11,-1
11,0
8,0
9,0
12,0
9,1.5
12,1
13,-3
10,-2
6,2
6,-5
7,-5
5,-5
5,-13
8,-12
8,-8
9,-7
4,-4
6,-8
8,-8
9,-7
11,-7
9,-6
9,-5
9,-5
11,-5
11,-5
13,-4
15,-4
18,-3
16,-2
16,1
15,1
19,1
15,1
16,1
9,2
14,-1
10,0
5,1
11,-3
15,-3
18,-2
16,0
15,5
14,1
12,1
10,3
5,-8
8,-7
12,-3
17,-3
15,-2
13,3
13,1
11,1
10,4
10,4
11,3
10,4
10,0
14,0
17,0
17,2.5
15,7.5
13,6
11,3
13,-2
11,-2
10,4
14,1
18,1.5
21,3
22,3.5
21,6.5
23,13
19,7
17,4
19,4
17,8.5
16,7
12,4
7,10
12,-1
17,-1
21,0
19,4
20,11
21,10
18,8
19,5
21,5
24,6
25,7
28,8.5
29,9
27,10
29,11
30,12
27,12
22,8
22,8
25,8
23,8.5
27,8
24,8.5
17,7
24,6
27,7
27,7.5
29,9
29,10
29,12
29,12
30,13
31,12
32,12
32,14
29,14
30,11
28,12
30,12
28,13
29,15
30,13
31,14
31,13
33,12
35,13
35,16
35,16
35,15
31,16
32,14
30,11
32,9
31,10
33,11
34,13
32,14
35,12
35,13
36,16
36,17
36,17.5
34,23
30,18
35,18
36,16
34,16
34,16
33,14
36,15
38,18
36,18
36,18
34,17
36,15
38,16
39,18
39,19
36,19
35,18
35,17
35,18
37,18
36,17
34,18
34,18
35,15
38,16
39,17
37,18
37,17
39,17
38,17
38,18
36,16
37,17
38,16
37,16
39,16
40,17
40,18.5
39,20
39,19
38,18
37,18
38,17
41,18
41,19
40,20
40,18
40,17
39,18
39,18
38,17
38,17
36,17.5
35,18
37,16
38,17
38,18
38,20
40,19
38,18
39,19
38,17
37,16
38,17
38,17
39,18
37,16
36,15
36,16
37,17
37,15
39,16
41,17
39,19
39,17
39,17
38,16
36,16
35,14
36,15
36,16
33,17
32,14
33,13.5
34,14
35,15
33,13
33,12
33,12.5
34,13
33,13
30,12
30,10
33,10
34,11
33,12.5
35,13
34,13.5
35,13.5
35,14
34,14
33,14
33,15
33,15
32,17
30,12
31,11
28,11
29,11
28,11.5
30,14.5
28,11
29,9
30,10
27,11.5
27,10
30,11
30,12
30,11
30,11.5
29,13
31,16
30,13
31,14
32,11
31,12
29,13
27,13
21,14
23,13
21,13
21,11
21,8
22,7
23,6
23,7
23,7.5
23,10
23,8
21,8
18,10
22,7
23,8
19,13
18,11
19,8
19,8.5
21,9
18,9
18,10
17,10
17,10
15,7
18,5
18,5
18,5
18,5
15,4
16,4
17,5
18,3
17,4
16,3
18,4
15,3
15,3.5
13,6
16,2
16,1
12,1
14,7
13,4
14,3
14,3
15,3
16,3
18,4
17,3
14,3.5
10,6
13,2
12,1
9,1
10,4
14,1
11,4
11,0
9,0
9,3
9,4
12,0
13,-1
13,-1
11,1
10,1
10,-1
10,-3
14,-3
10,0
11,4
9,1
8,2
7,2
9,-4
10,-3
9,0
7,1
7,-2
6,-2
7,-1
8,-6
6,-6
5,-3
5,-5
3,-11
6,-10
7,-8
10,-5
9,-5
9,-4
10,-1
9,1
11,-2
12,-2
10,-2
11,7
9,1
10,1
11,0
9,0
8,4
6,-1
10,-1
11,1
12,1
15,2
17,2
17,2.5
15,3
14,10
10,6
11,5
11,5
8,3
8,-2
5,-2
3,1
5,-5
9,-5
10,-5
12,-2
14,-2
13,0
14,1
16,4
16,-2
12,-2
10,-2
11,-2
11,-1
11,-1
9,3
11,-1
13,-1
15,-1
15,-1
12,-1
9,5
11,5
14,0
17,2
19,2
18,2
18,5
13,7
19,2
16,2
14,12
8,1
7,1
12,0
17,0
19,-1
20,-1
16,6
20,1
20,1
18,10
15,5
13,5
14,6
16,8
19,5
20,5
20,5
16,7
20,5
22,5
21,6
24,5
26,6
27,7
28,8
29,8
29,8
29,8
30,8
26,10
27,14
26,11
27,15
23,10
19,6
20,5
17,5
20,4
21,4
24,8
24,14
22,13
24,7
23,7
24,7
24,8
27,10
29,9
31,10
33,11
34,12
36,13
36,15
35,14
31,15
36,15
36,13
25,10
22,11
28,9
29,10
30,11
29,13
25,12
25,12
26,8
28,12
28,11
32,11
35,13
35,13
31,17
29,11
29,12
31,13
32,14
34,14
36,15
36,16
37,16
37,17
36,16
36,17
38,14
37,15
38,14
34,16
36,17
38,18
37,18
36,19
36,20
36,18
37,19
39,19
40,20
40,20
38,21
39,14
40,15
39,16
40,16
39,17
40,18
38,18
38,19
37,18
37,19
37,18
36,18
36,14
33,15
35,16
38,17
38,17
41,18
40,18
40,19
41,20
40,20
38,19
38,20
40,18
40.1,19
41,22
40,22
40,21
40,22
38,23
40,20
40,19
37,20
39,24
38,20
38,21
39,22
39,22
38,20
38,20
38,21
39,21
38,20
39,22
39,21
40,18
42,19
42,22
40,22
42,20
41,20
41,21
40,19
41,20
43,21
41,22
38,19
38,17
38,16
38,15
38,16
38,18
40,22
41,21
41,21
41,20
41,21
40,17
38,18
35,15
35,16
32,13
32,14
32,14
34,15
37,13
36,14
36,15
36,16
35,18
33,19
34,17
35,17
35,17
35,17
37,17
37,16
33,15
33,10
32,11
31,13
30,15
31,14
31,12
32,13
